collection_date,sample_no.,site,trans_no.,quad_no.,Treatment,treatment,code_name,mass(mg),N,C,CN,mean_CN,sd_CN,se_CN
11/8/21,1,Jungle,1,a,Sargasso,JungleSargasso,squash,3.54,1.8,19.4,10.78,10.57,0.3,0.21
11/8/21,2,Jungle,2,3,Control,JungleControl,star,3.53,0.7,20.3,29,18.24,7.62,3.11
11/8/21,3,Jungle,2,2,Control,JungleControl,squash,3.45,1.1,13.5,12.27,18.24,7.62,3.11
11/8/21,4,Jungle,2,3,Control,JungleControl,goat,3.55,1.2,16.3,13.58,18.24,7.62,3.11
11/8/21,5,Jungle,2,2,Control,JungleControl,goat,3.52,2.4,22.8,9.5,18.24,7.62,3.11
11/8/21,6,Jungle,2,2,Control,JungleControl,star,3.51,1.4,29.6,21.14,18.24,7.62,3.11
11/8/21,7,Jungle,2,1,Control,JungleControl,star,3.52,1.3,31.1,23.92,18.24,7.62,3.11
11/8/21,8,Jungle,1,a,Sargasso,JungleSargasso,goat,3.51,2.8,29,10.36,10.57,0.3,0.21
11/7/21,22,Dune,2,6,Sargasso,DuneSargasso,star,3.57,1.3,24,18.46,20.41,3,1.22
11/7/21,23,Dune,1,4,Control,DuneControl,thin,3.54,0.7,35.2,50.29,40.21,23.12,13.35
11/7/21,24,Dune,1,NA,Control,DuneControl,wheat,3.48,0.7,39.6,56.57,40.21,23.12,13.35
11/7/21,25,Dune,2,9,Sargasso,DuneSargasso,star,3.5,1.3,22.7,17.46,20.41,3,1.22
11/7/21,26,Dune,2,NA,Sargasso,DuneSargasso,star,3.47,0.7,14.9,21.29,20.41,3,1.22
11/7/21,27,Dune,2,7,Sargasso,DuneSargasso,star,3.56,1.6,30.2,18.88,20.41,3,1.22
11/7/21,28,Dune,2,9,Sargasso,DuneSargasso,thin,3.51,1.7,35,20.59,20.41,3,1.22
11/7/21,29,Dune,2,NA,Sargasso,DuneSargasso,thin,3.49,1,25.8,25.8,20.41,3,1.22
11/7/21,30,Dune,1,NA,Control,DuneControl,star,3.46,1.7,23.4,13.76,40.21,23.12,13.35