sample,code,Site,Block,Treatment,Time,Methane,Carbon_dioxide
12-19-22ch1_01.CHR,na,Calibrate,na,na,na,4.824,906.457
12-19-22ch1_02.CHR,na,Calibrate,na,na,na,1.252,323.603
12-19-22ch1_03.CHR,CH4std 1.49ppm,Calibrate,na,na,na,26.506,551.6995
12-19-22ch1_04.CHR,CH4std 1.49ppm,Calibrate,na,na,na,22.463,292.5685
12-19-22ch1_05.CHR,5CJt0,Jungle,5,Control,T0,76.364,2054.975
12-19-22ch1_06.CHR,5CJt1,Jungle,5,Control,T1,63.77,4506.5085
12-19-22ch1_07.CHR,1SJt0,Jungle,1,Sargassum,T0,64.7075,2867.544
12-19-22ch1_08.CHR,1SJt1,Jungle,1,Sargassum,T1,62.269,2326.573
12-19-22ch1_09.CHR,5SJt0,Jungle,5,Sargassum,T0,51.507,3980.6565
12-19-22ch1_10.CHR,5SJt1,Jungle,5,Sargassum,T1,44.76,32926.54
12-19-22ch1_11.CHR,1CJt0,Jungle,1,Control,T0,75.2325,2473.274
12-19-22ch1_12.CHR,1CJt1,Jungle,1,Control,T1,68.851,1986.261
12-19-22ch1_13.CHR,2SJt0,Jungle,2,Sargassum,T0,96.041,2649.762
12-19-22ch1_14.CHR,2SJt1,Jungle,2,Sargassum,T1,40.064,5809.677
12-19-22ch1_15.CHR,4CJt0,Jungle,4,Control,T0,78.1995,1537.936
12-19-22ch1_16.CHR,4CJt1,Jungle,4,Control,T1,59.875,3543.0135
12-19-22ch1_17.CHR,"CO2std ""698ppm""",Calibrate,na,na,na,13.797,5510.022
12-19-22ch1_18.CHR,4SJt0,Jungle,4,Sargassum,T0,71.3515,1469.703
12-19-22ch1_19.CHR,4SJt1,Jungle,4,Sargassum,T1,44.384,4621.4915
12-19-22ch1_20.CHR,2CJt0,Jungle,2,Control,T0,101.4405,2437.8275
12-19-22ch1_21.CHR,2CJt1,Jungle,2,Control,T1,47.953,7330.692
12-19-22ch1_22.CHR,3SJt0,Jungle,3,Sargassum,T0,65.692,1734.754
12-19-22ch1_23.CHR,3SJt1,Jungle,3,Sargassum,T1,67.0335,9506.767
12-19-22ch1_24.CHR,3CJt0,Jungle,3,Control,T0,70.4565,1007.896
12-19-22ch1_25.CHR,3CJt1,Jungle,3,Control,T1,49.368,1802.86
12-19-22ch1_26.CHR,3CDt0,Dune,3,Control,T0,60.815,1108.327
12-19-22ch1_27.CHR,3CDt1,Dune,3,Control,T1,81.179,1036.38
12-19-22ch1_28.CHR,3SDt0,Dune,3,Sargassum,T0,82.969,1299.696
12-19-22ch1_29.CHR,3SDt1,Dune,3,Sargassum,T1,68.349,8054.905
12-19-22ch1_30.CHR,"CO2std ""698ppm""",Calibrate,na,na,na,13.136,4761.696
12-19-22ch1_31.CHR,2SDt0,Dune,2,Sargassum,T0,82.776,1244.386
12-19-22ch1_32.CHR,2SDt1,Dune,2,Sargassum,T1,78.16,2899.092
12-19-22ch1_33.CHR,2CDt0,Dune,2,Control,T0,85.654,940.1
12-19-22ch1_34.CHR,2CDt1,Dune,2,Control,T1,74.969,1019.159
12-19-22ch1_35.CHR,1CDt0,Dune,1,Control,T0,68.206,970.233
12-19-22ch1_36.CHR,1CDt1,Dune,1,Control,T1,40.944,903.302
12-19-22ch1_37.CHR,1SDt0,Dune,1,Sargassum,T0,64.4365,946.608
12-19-22ch1_38.CHR,1SDt1,Dune,1,Sargassum,T1,45.267,9067.841