Trip,Survey,Site,Block,Treatment,Quadrat,Dist_from_edge,Litter,Substrate,Bermuda,Other_pants,Total,grass_prc_cover,total_plant_prc_cover,leaf_prc_cover,bare_prc_cover,grass_prc_cover_mean,other_prc_cover_mean
1,Ladder,Beach,1,Control,0,0,0,99,0,1,100,0,1,0,99,0,1.5
1,Ladder,Beach,1,Control,0,0,4,94,0,2,100,0,2,4,94,,
1,Ladder,Beach,2,Control,0,0,2,95,0,3,100,0,3,2,95,0,1.5
1,Ladder,Beach,2,Control,0,0,1,99,0,0,100,0,0,1,99,,
1,Ladder,Beach,3,Control,0,0,3,97,0,0,100,0,0,3,97,0,0
1,Ladder,Beach,3,Control,0,0,8,92,0,0,100,0,0,8,92,,
1,Ladder,Beach,4,Control,0,0,0,98,0,2,100,0,2,0,98,0,1
1,Ladder,Beach,4,Control,0,0,16,84,0,0,100,0,0,16,84,,
1,Ladder,Beach,5,Control,0,0,1,99,0,0,100,0,0,1,99,0,5.5
1,Ladder,Beach,5,Control,0,0,4,85,0,11,100,0,11,4,85,,
1,Ladder,Forest,1,Control,0,0,15,78,7,0,100,7,7,15,78,6.5,0
1,Ladder,Forest,1,Control,0,0,1,93,6,0,100,6,6,1,93,,
1,Ladder,Forest,2,Control,0,0,15,66,10,9,100,10,19,15,66,5,8
1,Ladder,Forest,2,Control,0,0,5,88,0,7,100,0,7,5,88,,
1,Ladder,Forest,3,Control,0,0,3,95,2,0,100,2,2,3,95,1,0.5
1,Ladder,Forest,3,Control,0,0,9,91,0,1,101,0,1,9,90,,
1,Ladder,Forest,4,Control,0,0,1,99,0,0,100,0,0,1,99,0,1
1,Ladder,Forest,4,Control,0,0,3,95,0,2,100,0,2,3,95,,
1,Ladder,Forest,5,Control,0,0,2,97,1,0,100,1,1,2,97,7,0
1,Ladder,Forest,5,Control,0,0,2,85,13,0,100,13,13,2,85,,
2,Ladder,Beach,1,Control,0,0,0,71,29,0,100,29,29,0,71,20.5,0
2,Ladder,Beach,1,Control,0,0,1,87,12,0,100,12,12,1,87,,
2,Ladder,Beach,2,Control,0,0,6,93,0,1,100,0,1,6,93,0,0.5
2,Ladder,Beach,2,Control,0,0,10,90,0,0,100,0,0,10,90,,
2,Ladder,Beach,3,Control,0,0,0,100,0,0,100,0,0,0,100,0,0
2,Ladder,Beach,3,Control,0,0,6,94,0,0,100,0,0,6,94,,
2,Ladder,Beach,4,Control,0,0,2,98,0,0,100,0,0,2,98,0,0
2,Ladder,Beach,4,Control,0,0,1,99,0,0,100,0,0,1,99,,
2,Ladder,Beach,5,Control,0,0,2,98,0,0,100,0,0,2,98,9,4.5
2,Ladder,Beach,5,Control,0,0,6,67,18,9,100,18,27,6,67,,
2,Ladder,Forest,1,Control,0,0,78,18,0,4,100,0,4,78,18,0,6.5
2,Ladder,Forest,1,Control,0,0,81,19,0,0,100,0,0,81,19,,
2,Ladder,Forest,2,Control,0,0,28,63,0,9,100,0,9,28,63,0,6.5
2,Ladder,Forest,2,Control,0,0,52,46,0,0,98,0,0,53,47,,
2,Ladder,Forest,3,Control,0,0,76,14,0,10,100,0,10,76,14,0.5,23
2,Ladder,Forest,3,Control,0,0,70,21,0,9,100,0,9,70,21,,
2,Ladder,Forest,4,Control,0,0,81,10,0,9,100,0,9,81,10,,
2,Ladder,Forest,4,Control,0,0,88,9,0,3,100,0,3,88,9,0,1.5
2,Ladder,Forest,5,Control,0,0,67,29,0,4,100,0,4,67,29,,
2,Ladder,Forest,5,Control,0,0,52,41,0,8,101,0,8,51,41,0,4
3,Ladder,Beach,1,Control,0,0,54,9,1,36,100,1,37,54,9,,
3,Ladder,Beach,1,Control,0,0,87,4,0,9,100,0,9,87,4,0,9
3,Ladder,Beach,2,Control,0,0,89,7,0,5,101,0,5,88,7,0.5,3.5
3,Ladder,Beach,2,Control,0,0,76,15,0,9,100,0,9,76,15,,
3,Ladder,Beach,3,Control,0,0,74,25,0,1,100,0,1,74,25,0.5,0.5
3,Ladder,Beach,3,Control,0,0,79,13,0,8,100,0,8,79,13,,
3,Ladder,Beach,4,Control,0,0,74,25,0,1,100,0,1,74,25,0,7.5
3,Ladder,Beach,4,Control,0,0,81,17,0,0,98,0,0,83,17,,
3,Ladder,Beach,5,Control,0,0,81,16,1,2,100,1,3,81,16,,
3,Ladder,Beach,5,Control,0,0,95,5,0,0,100,0,0,95,5,0,4.5
3,Ladder,Forest,1,Control,0,0,70,25,0,5,100,0,5,70,25,,
3,Ladder,Forest,1,Control,0,0,99,1,0,0,100,0,0,99,1,0,2.5
3,Ladder,Forest,2,Control,0,0,86,0,0,14,100,0,14,86,0,,
3,Ladder,Forest,2,Control,0,0,62,22,0,16,100,0,16,62,22,0,8
3,Ladder,Forest,3,Control,0,0,91,9,0,0,100,0,0,91,9,0,0
3,Ladder,Forest,3,Control,0,0,99,1,0,0,100,0,0,99,1,,
3,Ladder,Forest,4,Control,0,0,62,39,0,1,102,0,1,61,38,0,1.5
3,Ladder,Forest,4,Control,0,0,80,8,0,2,90,0,2,89,9,,
3,Ladder,Forest,5,Control,0,0,89,11,0,0,100,0,0,89,11,0,1.5
3,Ladder,Forest,5,Control,0,0,72,33,0,3,108,0,3,67,31,,
1,Ladder,Beach,1,Control,0.75,0.75,22,78,0,0,100,0,0,22,78,0,16
1,Ladder,Beach,1,Control,0.75,0.75,40,28,0,32,100,0,32,40,28,,
1,Ladder,Beach,2,Control,0.75,0.75,6,74,0,20,100,0,20,6,74,0,11
1,Ladder,Beach,2,Control,0.75,0.75,7,91,0,2,100,0,2,7,91,,
1,Ladder,Beach,3,Control,0.75,0.75,8,92,0,0,100,0,0,8,92,0,3
1,Ladder,Beach,3,Control,0.75,0.75,4,90,0,6,100,0,6,4,90,,
1,Ladder,Beach,4,Control,0.75,0.75,0,55,0,45,100,0,45,0,55,32,23.5
1,Ladder,Beach,4,Control,0.75,0.75,0,34,64,2,100,64,66,0,34,,
1,Ladder,Beach,5,Control,0.75,0.75,0,87,0,13,100,0,13,0,87,3.5,21.5
1,Ladder,Beach,5,Control,0.75,0.75,0,63,7,30,100,7,37,0,63,,
1,Ladder,Forest,1,Control,0.75,0.75,0,83,0,17,100,0,17,0,83,0,8.5
1,Ladder,Forest,1,Control,0.75,0.75,3,97,0,0,100,0,0,3,97,,
1,Ladder,Forest,2,Control,0.75,0.75,20,52,0,28,100,0,28,20,52,0,24.5
1,Ladder,Forest,2,Control,0.75,0.75,18,61,0,21,100,0,21,18,61,,
1,Ladder,Forest,3,Control,0.75,0.75,0,88,0,12,100,0,12,0,88,0,6
1,Ladder,Forest,3,Control,0.75,0.75,8,92,0,0,100,0,0,8,92,,
1,Ladder,Forest,4,Control,0.75,0.75,0,100,0,0,100,0,0,0,100,0,3.5
1,Ladder,Forest,4,Control,0.75,0.75,2,91,0,7,100,0,7,2,91,,
1,Ladder,Forest,5,Control,0.75,0.75,0,94,0,5,99,0,5,0,95,0,9.5
1,Ladder,Forest,5,Control,0.75,0.75,6,80,0,14,100,0,14,6,80,,
2,Ladder,Beach,1,Control,0.75,0.75,7,52,0,41,100,0,41,7,52,0,29
2,Ladder,Beach,1,Control,0.75,0.75,24,59,0,17,100,0,17,24,59,,
2,Ladder,Beach,2,Control,0.75,0.75,0,19,0,81,100,0,81,0,19,0,55.5
2,Ladder,Beach,2,Control,0.75,0.75,3,67,0,30,100,0,30,3,67,,
2,Ladder,Beach,3,Control,0.75,0.75,0,100,0,0,100,0,0,0,100,0,0
2,Ladder,Beach,3,Control,0.75,0.75,0,100,0,0,100,0,0,0,100,,
2,Ladder,Beach,4,Control,0.75,0.75,2,98,0,0,100,0,0,2,98,0,0
2,Ladder,Beach,4,Control,0.75,0.75,2,98,0,0,100,0,0,2,98,,
2,Ladder,Beach,5,Control,0.75,0.75,0,100,0,0,100,0,0,0,100,0,23.5
2,Ladder,Beach,5,Control,0.75,0.75,5,48,0,47,100,0,47,5,48,,
2,Ladder,Forest,1,Control,0.75,0.75,45,50,0,5,100,0,5,45,50,0,2.5
2,Ladder,Forest,1,Control,0.75,0.75,99,1,0,0,100,0,0,99,1,,
2,Ladder,Forest,2,Control,0.75,0.75,11,89,0,0,100,0,0,11,89,0,1
2,Ladder,Forest,2,Control,0.75,0.75,91,7,0,2,100,0,2,91,7,,
2,Ladder,Forest,3,Control,0.75,0.75,4,32,0,64,100,0,64,4,32,0,32
2,Ladder,Forest,3,Control,0.75,0.75,62,38,0,0,100,0,0,62,38,,
2,Ladder,Forest,4,Control,0.75,0.75,93,7,0,0,100,0,0,93,7,0,1
2,Ladder,Forest,4,Control,0.75,0.75,96,2,0,2,100,0,2,96,2,,
2,Ladder,Forest,5,Control,0.75,0.75,73,25,0,2,100,0,2,73,25,0,3
2,Ladder,Forest,5,Control,0.75,0.75,77,19,0,4,100,0,4,77,19,,
3,Ladder,Beach,1,Control,0.75,0.75,59,40,0,1,100,0,1,59,40,0,0.5
3,Ladder,Beach,1,Control,0.75,0.75,89,11,0,0,100,0,0,89,11,,
3,Ladder,Beach,2,Control,0.75,0.75,100,0,0,0,100,0,0,100,0,0,1.5
3,Ladder,Beach,2,Control,0.75,0.75,78,19,0,3,100,0,3,78,19,,
3,Ladder,Beach,3,Control,0.75,0.75,67,17,0,16,100,0,16,67,17,0,8
3,Ladder,Beach,3,Control,0.75,0.75,76,24,0,0,100,0,0,76,24,,
3,Ladder,Beach,4,Control,0.75,0.75,76,24,0,0,100,0,0,76,24,0,0.5
3,Ladder,Beach,4,Control,0.75,0.75,97,2,0,1,100,0,1,97,2,,
3,Ladder,Beach,5,Control,0.75,0.75,100,0,0,0,100,0,0,100,0,0,1
3,Ladder,Beach,5,Control,0.75,0.75,97,1,0,2,100,0,2,97,1,,
3,Ladder,Forest,1,Control,0.75,0.75,22,71,0,7,100,0,7,22,71,0,3.5
3,Ladder,Forest,1,Control,0.75,0.75,97,3,0,0,100,0,0,97,3,,
3,Ladder,Forest,2,Control,0.75,0.75,71,27,0,2,100,0,2,71,27,0,1.5
3,Ladder,Forest,2,Control,0.75,0.75,97,2,0,1,100,0,1,97,2,,
3,Ladder,Forest,3,Control,0.75,0.75,100,0,0,0,100,0,0,100,0,0,4
3,Ladder,Forest,3,Control,0.75,0.75,92,0,0,8,100,0,8,92,0,,
3,Ladder,Forest,4,Control,0.75,0.75,78,22,0,0,100,0,0,78,22,0,0
3,Ladder,Forest,4,Control,0.75,0.75,94,6,0,0,100,0,0,94,6,,
3,Ladder,Forest,5,Control,0.75,0.75,98,2,0,0,100,0,0,98,2,0,1
3,Ladder,Forest,5,Control,0.75,0.75,93,5,0,2,100,0,2,93,5,,
1,Ladder,Beach,1,Control,1.5,1.5,0,99,0,1,100,0,1,0,99,0,8.5
1,Ladder,Beach,1,Control,1.5,1.5,7,77,0,16,100,0,16,7,77,,
1,Ladder,Beach,2,Control,1.5,1.5,0,100,0,0,100,0,0,0,100,0,3.5
1,Ladder,Beach,2,Control,1.5,1.5,22,71,0,7,100,0,7,22,71,,
1,Ladder,Beach,3,Control,1.5,1.5,12,74,0,14,100,0,14,12,74,1.5,22
1,Ladder,Beach,3,Control,1.5,1.5,30,38,3,30,101,3,33,30,38,,
1,Ladder,Beach,4,Control,1.5,1.5,2,94,1,3,100,1,4,2,94,1,1.5
1,Ladder,Beach,4,Control,1.5,1.5,3,95,1,0,99,1,1,3,96,,
1,Ladder,Beach,5,Control,1.5,1.5,0,92,0,8,100,0,8,0,92,3.5,4.5
1,Ladder,Beach,5,Control,1.5,1.5,8,85,7,1,101,7,8,8,84,,
1,Ladder,Forest,1,Control,1.5,1.5,1,80,18,1,100,18,19,1,80,9,1.5
1,Ladder,Forest,1,Control,1.5,1.5,3,95,0,2,100,0,2,3,95,,
1,Ladder,Forest,2,Control,1.5,1.5,24,40,36,1,101,36,37,24,40,19,0.5
1,Ladder,Forest,2,Control,1.5,1.5,36,62,2,0,100,2,2,36,62,,
1,Ladder,Forest,3,Control,1.5,1.5,1,90,9,0,100,9,9,1,90,5,0
1,Ladder,Forest,3,Control,1.5,1.5,1,98,1,0,100,1,1,1,98,,
1,Ladder,Forest,4,Control,1.5,1.5,0,94,6,0,100,6,6,0,94,32,0
1,Ladder,Forest,4,Control,1.5,1.5,8,34,58,0,100,58,58,8,34,,
1,Ladder,Forest,5,Control,1.5,1.5,0,86,14,0,100,14,14,0,86,11.5,14.5
1,Ladder,Forest,5,Control,1.5,1.5,11,54,9,29,103,9,37,11,52,,
2,Ladder,Beach,1,Control,1.5,1.5,19,36,42,4,101,42,46,19,36,37,9.5
2,Ladder,Beach,1,Control,1.5,1.5,8,44,32,15,99,32,47,8,44,,
2,Ladder,Beach,2,Control,1.5,1.5,10,32,3,55,100,3,58,10,32,4.5,34.5
2,Ladder,Beach,2,Control,1.5,1.5,4,76,6,14,100,6,20,4,76,,
2,Ladder,Beach,3,Control,1.5,1.5,0,93,0,8,101,0,8,0,92,0,4
2,Ladder,Beach,3,Control,1.5,1.5,0,100,0,0,100,0,0,0,100,,
2,Ladder,Beach,4,Control,1.5,1.5,0,93,0,7,100,0,7,0,93,0,3.5
2,Ladder,Beach,4,Control,1.5,1.5,0,100,0,0,100,0,0,0,100,,
2,Ladder,Beach,5,Control,1.5,1.5,8,92,0,0,100,0,0,8,92,0,0
2,Ladder,Beach,5,Control,1.5,1.5,0,100,0,0,100,0,0,0,100,,
2,Ladder,Forest,1,Control,1.5,1.5,53,49,0,1,103,0,1,51,48,0,2.5
2,Ladder,Forest,1,Control,1.5,1.5,41,56,0,4,101,0,4,41,55,,
2,Ladder,Forest,2,Control,1.5,1.5,55,39,0,6,100,0,6,55,39,0,12
2,Ladder,Forest,2,Control,1.5,1.5,23,59,0,18,100,0,18,23,59,,
2,Ladder,Forest,3,Control,1.5,1.5,45,27,0,28,100,0,28,45,27,0,35.5
2,Ladder,Forest,3,Control,1.5,1.5,47,10,0,43,100,0,43,47,10,,
2,Ladder,Forest,4,Control,1.5,1.5,66,7,0,27,100,0,27,66,7,0,18
2,Ladder,Forest,4,Control,1.5,1.5,67,25,0,9,101,0,9,66,25,,
2,Ladder,Forest,5,Control,1.5,1.5,56,37,0,7,100,0,7,56,37,0,5.5
2,Ladder,Forest,5,Control,1.5,1.5,77,19,0,4,100,0,4,77,19,,
3,Ladder,Beach,1,Control,1.5,1.5,48,46,0,7,101,0,7,48,46,0,6.5
3,Ladder,Beach,1,Control,1.5,1.5,90,4,0,6,100,0,6,90,4,,
3,Ladder,Beach,2,Control,1.5,1.5,60,28,0,12,100,0,12,60,28,0,15
3,Ladder,Beach,2,Control,1.5,1.5,27,54,0,18,99,0,18,27,55,,
3,Ladder,Beach,3,Control,1.5,1.5,46,35,0,20,101,0,20,46,35,0,17.5
3,Ladder,Beach,3,Control,1.5,1.5,39,46,0,15,100,0,15,39,46,,
3,Ladder,Beach,4,Control,1.5,1.5,84,12,0,6,102,0,6,82,12,0,3.5
3,Ladder,Beach,4,Control,1.5,1.5,94,5,0,1,100,0,1,94,5,,
3,Ladder,Beach,5,Control,1.5,1.5,86,1,0,12,99,0,12,87,1,0,10.5
3,Ladder,Beach,5,Control,1.5,1.5,61,30,0,9,100,0,9,61,30,,
3,Ladder,Forest,1,Control,1.5,1.5,57,7,0,39,103,0,38,55,7,0,24.5
3,Ladder,Forest,1,Control,1.5,1.5,25,65,0,10,100,0,10,25,65,,
3,Ladder,Forest,2,Control,1.5,1.5,41,50,0,9,100,0,9,41,50,0,15
3,Ladder,Forest,2,Control,1.5,1.5,58,21,0,21,100,0,21,58,21,,
3,Ladder,Forest,3,Control,1.5,1.5,90,0,0,4,94,0,4,96,0,0,3.5
3,Ladder,Forest,3,Control,1.5,1.5,86,12,0,3,101,0,3,85,12,,
3,Ladder,Forest,4,Control,1.5,1.5,79,12,0,7,98,0,7,81,12,0,14.5
3,Ladder,Forest,4,Control,1.5,1.5,34,44,0,22,100,0,22,34,44,,
3,Ladder,Forest,5,Control,1.5,1.5,89,1,0,10,100,0,10,89,1,0,7.5
3,Ladder,Forest,5,Control,1.5,1.5,93,2,0,5,100,0,5,93,2,,
1,Ladder,Beach,1,Sargassum,0,0,1,98,0,1,100,0,1,1,98,0,1
1,Ladder,Beach,1,Sargassum,0,0,1,98,0,1,100,0,1,1,98,,
1,Ladder,Beach,2,Sargassum,0,0,21,49,0,30,100,0,30,21,49,0,15
1,Ladder,Beach,2,Sargassum,0,0,9,91,0,0,100,0,0,9,91,,
