Trip,Site,Treatment,Rep_no.,Amphipoda,Arachnida,coleoptera,orthoptera,hemiptera,dermaptera,Hymenoptera,julida,collembola
Aug. 22,Beach,small,1,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,2,1,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,3,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,4,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,5,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,6,1,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,7,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,8,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,9,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,small,10,0,0,0,0,0,0,0,0,0
Aug. 22,Beach,large,1,84,0,0,1,0,0,0,0,0
Aug. 22,Beach,large,2,104,7,6,2,0,0,0,0,0
Aug. 22,Beach,large,3,108,1,,2,1,0,0,0,0
Aug. 22,Beach,large,4,125,0,0,0,0,0,0,0,0
Aug. 22,Beach,large,5,1,1,0,0,0,0,0,0,0
Aug. 22,Beach,large,6,41,0,0,1,0,0,0,0,0
Aug. 22,Beach,large,7,39,2,0,0,0,0,0,0,0
Aug. 22,Beach,large,8,157,1,0,0,0,1,0,0,0
Aug. 22,Beach,large,9,154,1,0,1,0,0,0,0,0
Aug. 22,Beach,large,10,68,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,1,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,2,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,3,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,4,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,5,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,6,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,7,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,8,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,9,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,small,10,0,0,0,0,0,0,0,0,0
Aug. 22,Forest,large,1,0,0,0,0,0,0,29,0,0
Aug. 22,Forest,large,2,0,0,2,0,0,0,0,0,0
Aug. 22,Forest,large,3,0,0,0,0,0,0,0,1,0
Aug. 22,Forest,large,4,0,0,0,0,0,0,1,2,1
Aug. 22,Forest,large,5,0,0,0,0,81,0,3,1,0
Aug. 22,Forest,large,6,0,0,0,0,1,0,0,0,0
Aug. 22,Forest,large,7,0,0,1,,167,0,2,1,0
Aug. 22,Forest,large,8,0,0,2,0,0,0,2,0,0
Aug. 22,Forest,large,9,0,0,1,0,0,0,1,0,0
Aug. 22,Forest,large,10,0,1,0,0,0,0,0,0,0
Nov. 22,Beach,small,1,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,2,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,3,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,4,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,5,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,6,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,7,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,8,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,9,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,small,10,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,large,1,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,large,2,0,6,0,0,0,0,0,0,0
Nov. 22,Beach,large,3,0,1,0,0,0,0,0,0,0
Nov. 22,Beach,large,4,0,2,0,1,0,0,0,0,0
Nov. 22,Beach,large,5,0,5,0,0,0,0,0,0,0
Nov. 22,Beach,large,6,0,1,0,0,0,0,0,0,0
Nov. 22,Beach,large,7,0,2,0,0,0,0,0,0,0
Nov. 22,Beach,large,8,0,3,0,0,0,0,0,0,0
Nov. 22,Beach,large,9,0,0,0,0,0,0,0,0,0
Nov. 22,Beach,large,10,0,9,0,0,0,0,0,0,0
Nov. 22,Forest,small,1,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,2,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,3,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,4,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,5,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,6,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,7,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,8,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,9,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,small,10,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,large,1,0,0,1,0,0,0,0,0,0
Nov. 22,Forest,large,2,0,0,0,0,0,0,0,1,0
Nov. 22,Forest,large,3,0,1,0,0,0,0,0,0,0
Nov. 22,Forest,large,4,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,large,5,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,large,6,0,2,0,0,0,0,0,0,0
Nov. 22,Forest,large,7,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,large,8,0,1,0,0,0,0,0,0,0
Nov. 22,Forest,large,9,0,0,0,0,0,0,0,0,0
Nov. 22,Forest,large,10,0,0,0,0,0,0,0,0,0