Trip,Survey,Site,Block,Treatment,Direction,Dead,Substrate,Cynodon_dactylon,Other_plants,Total,grass_prc_cover,total_plant_prc_cover,dead_prc_cover,bare_prc_cover
1,HiLo,Dunes,1,Control,Lo,0,100,0,0,100,0,0,0,100
1,HiLo,Dunes,1,Control,Hi,0,74,0,26,100,0,26,0,74
1,Ladder,Dunes,1,Control,L,0,99,0,1,100,0,1,0,99
1,Ladder,Dunes,1,Control,R,4,94,0,2,100,0,2,4,94
1,HiLo,Dunes,1,Sargassum,Lo,0,100,0,0,100,0,0,0,100
1,HiLo,Dunes,1,Sargassum,Hi,42,58,0,0,100,0,0,42,58
1,Ladder,Dunes,1,Sargassum,R,21,49,0,30,100,0,30,21,49
1,Ladder,Dunes,1,Sargassum,L,9,91,0,0,100,0,0,9,91
1,HiLo,Jungle,1,Control,Lo,59,41,0,0,100,0,0,59,41
1,HiLo,Jungle,1,Control,Hi,88,0,3,9,100,3,12,88,0
1,Ladder,Jungle,1,Control,L,78,18,0,4,100,0,4,78,18
1,Ladder,Jungle,1,Control,R,81,19,0,0,100,0,0,81,19
1,HiLo,Jungle,1,Sargassum,Lo,40,51,0,9,100,0,9,40,51
1,HiLo,Jungle,1,Sargassum,Hi,88,12,0,0,100,0,0,88,12
1,Ladder,Jungle,1,Sargassum,L,44,33,0,23,100,0,23,44,33
1,Ladder,Jungle,1,Sargassum,R,85,7,0,8,100,0,8,85,7
1,HiLo,Dunes,2,Control,Lo,7,93,0,0,100,0,0,7,93
1,HiLo,Dunes,2,Control,Hi,16,60,0,24,100,0,24,16,60
1,Ladder,Dunes,2,Control,L,0,98,0,2,100,0,2,0,98
1,Ladder,Dunes,2,Control,R,16,84,0,0,100,0,0,16,84
1,HiLo,Dunes,2,Sargassum,Lo,48,52,0,0,100,0,0,48,52
1,HiLo,Dunes,2,Sargassum,Hi,47,31,15,7,100,15,22,47,31
1,Ladder,Dunes,2,Sargassum,L,0,100,0,0,100,0,0,0,100
1,Ladder,Dunes,2,Sargassum,R,30,71,0,0,101,0,0,30,70
1,HiLo,Jungle,2,Control,Lo,77,10,12,1,100,12,13,77,10
1,HiLo,Jungle,2,Control,Hi,81,0,0,19,100,0,19,81,0
1,Ladder,Jungle,2,Control,R,81,10,0,9,100,0,9,81,10
1,Ladder,Jungle,2,Control,R,88,9,0,3,100,0,3,88,9
1,HiLo,Jungle,2,Sargassum,Lo,93,1,1,5,100,1,6,93,1
1,HiLo,Jungle,2,Sargassum,Hi,89,10,0,1,100,0,1,89,10
1,Ladder,Jungle,2,Sargassum,R,79,2,18,1,100,18,19,79,2
1,Ladder,Jungle,2,Sargassum,R,93,0,0,7,100,0,7,93,0
1,HiLo,Dunes,3,Control,Lo,0,99,1,0,100,1,1,0,99
1,HiLo,Dunes,3,Control,Hi,11,95,3,1,110,3,4,10,86
1,Ladder,Dunes,3,Control,L,15,66,10,9,100,10,19,15,66
1,Ladder,Dunes,3,Control,R,5,88,0,7,100,0,7,5,88
1,HiLo,Dunes,3,Sargassum,Lo,28,72,0,0,100,0,0,28,72
1,HiLo,Dunes,3,Sargassum,Hi,61,26,12,1,100,12,13,61,26
1,Ladder,Dunes,3,Sargassum,L,13,87,0,0,100,0,0,13,87
1,Ladder,Dunes,3,Sargassum,R,39,53,2,6,100,2,8,39,53
1,HiLo,Jungle,3,Control,Lo,86,14,0,0,100,0,0,86,14
1,HiLo,Jungle,3,Control,Hi,86,14,0,0,100,0,0,86,14
1,Ladder,Jungle,3,Control,L,89,7,0,5,101,0,5,88,7
1,Ladder,Jungle,3,Control,R,76,15,0,9,100,0,9,76,15
1,HiLo,Jungle,3,Sargassum,Lo,89,10,0,1,100,0,1,89,10
1,HiLo,Jungle,3,Sargassum,Hi,91,9,0,0,100,0,0,91,9
1,Ladder,Jungle,3,Sargassum,L,70,25,0,5,100,0,5,70,25
1,Ladder,Jungle,3,Sargassum,R,100,0,0,0,100,0,0,100,0
1,HiLo,Dunes,4,Control,Lo,1,99,0,0,100,0,0,1,99
1,HiLo,Dunes,4,Control,Hi,20,57,17,6,100,17,23,20,57
1,Ladder,Dunes,4,Control,L,2,97,1,0,100,1,1,2,97
1,Ladder,Dunes,4,Control,R,2,85,13,0,100,13,13,2,85
1,HiLo,Dunes,4,Sargassum,Lo,32,56,0,12,100,0,12,32,56
1,HiLo,Dunes,4,Sargassum,Hi,17,31,0,52,100,0,52,17,31
1,Ladder,Dunes,4,Sargassum,L,9,91,0,0,100,0,0,9,91
1,Ladder,Dunes,4,Sargassum,R,11,68,21,0,100,21,21,11,68
1,HiLo,Jungle,4,Control,Lo,74,2,0,0,76,0,0,97,3
1,HiLo,Jungle,4,Control,Hi,76,0,0,24,100,0,24,76,0
1,Ladder,Jungle,4,Control,L,81,16,0,2,99,0,2,82,16
1,Ladder,Jungle,4,Control,R,95,5,0,0,100,0,0,95,5
1,HiLo,Jungle,4,Sargassum,Lo,87,13,0,0,100,0,0,87,13
1,HiLo,Jungle,4,Sargassum,Hi,91,0,0,9,100,0,9,91,0
1,Ladder,Jungle,4,Sargassum,L,94,6,0,0,100,0,0,94,6
1,Ladder,Jungle,4,Sargassum,R,83,12,0,5,100,0,5,83,12
1,HiLo,Dunes,5,Control,Lo,1,99,0,0,100,0,0,1,99
1,HiLo,Dunes,5,Control,Hi,32,27,0,41,100,0,41,32,27
1,Ladder,Dunes,5,Control,L,0,100,0,0,100,0,0,0,100
1,Ladder,Dunes,5,Control,R,6,94,0,0,100,0,0,6,94
1,HiLo,Dunes,5,Sargassum,Lo,21,79,0,0,100,0,0,21,79
1,HiLo,Dunes,5,Sargassum,Hi,41,11,0,48,100,0,48,41,11
1,Ladder,Dunes,5,Sargassum,L,24,76,0,0,100,0,0,24,76
1,Ladder,Dunes,5,Sargassum,R,23,77,0,0,100,0,0,23,77
1,HiLo,Jungle,5,Control,Lo,66,34,0,0,100,0,0,66,34
1,HiLo,Jungle,5,Control,Hi,96,0,0,4,100,0,4,96,0
1,Ladder,Jungle,5,Control,L,91,9,0,0,100,0,0,91,9
1,Ladder,Jungle,5,Control,R,99,1,0,0,100,0,0,99,1
1,HiLo,Jungle,5,Sargassum,Lo,90,9,0,1,100,0,1,90,9
1,HiLo,Jungle,5,Sargassum,Hi,100,0,0,0,100,0,0,100,0
1,Ladder,Jungle,5,Sargassum,L,88,12,0,0,100,0,0,88,12
1,Ladder,Jungle,5,Sargassum,R,100,0,0,0,100,0,0,100,0
2,HiLo,Dunes,1,Control,Lo,67,33,0,0,100,0,0,67,33
2,HiLo,Dunes,1,Control,Hi,0,91,5,4,100,5,9,0,91
2,Ladder,Dunes,1,Control,L,22,78,0,0,100,0,0,22,78
2,Ladder,Dunes,1,Control,R,40,28,0,32,100,0,32,40,28
2,HiLo,Dunes,1,Sargassum,Lo,73,16,11,0,100,11,11,73,16
2,HiLo,Dunes,1,Sargassum,Hi,0,0,78,22,100,78,100,0,0
2,Ladder,Dunes,1,Sargassum,L,0,81,0,19,100,0,19,0,81
2,Ladder,Dunes,1,Sargassum,R,0,66,0,35,101,0,35,0,65
2,HiLo,Jungle,1,Control,Hi,100,0,0,0,100,0,0,100,0
2,HiLo,Jungle,1,Control,Lo,54,37,0,9,100,0,9,54,37
2,Ladder,Jungle,1,Control,L,45,50,0,5,100,0,5,45,50
2,Ladder,Jungle,1,Control,R,99,1,0,0,100,0,0,99,1
2,HiLo,Jungle,1,Sargassum,Hi,67,15,0,18,100,0,18,67,15
2,HiLo,Jungle,1,Sargassum,Lo,78,18,0,4,100,0,4,78,18
2,Ladder,Jungle,1,Sargassum,L,37,7,0,56,100,0,56,37,7
2,Ladder,Jungle,1,Sargassum,R,66,21,0,13,100,0,13,66,21
2,HiLo,Dunes,2,Control,Lo,0,100,0,0,100,0,0,0,100
2,HiLo,Dunes,2,Control,Hi,0,61,0,39,100,0,39,0,61
2,Ladder,Dunes,2,Control,L,0,55,0,45,100,0,45,0,55
2,Ladder,Dunes,2,Control,R,0,34,64,2,100,64,66,0,34
2,HiLo,Dunes,2,Sargassum,Lo,58,42,0,0,100,0,0,58,42
2,HiLo,Dunes,2,Sargassum,Hi,0,40,53,9,102,52,61,0,39
2,Ladder,Dunes,2,Sargassum,L,0,56,0,44,100,0,44,0,56
2,Ladder,Dunes,2,Sargassum,R,25,74,0,1,100,0,1,25,74
2,HiLo,Jungle,2,Control,Hi,80,0,0,14,94,0,15,85,0
2,HiLo,Jungle,2,Control,Lo,50,48,0,2,100,0,2,50,48
2,Ladder,Jungle,2,Control,L,93,7,0,0,100,0,0,93,7
2,Ladder,Jungle,2,Control,R,96,2,0,2,100,0,2,96,2
2,HiLo,Jungle,2,Sargassum,Hi,90,3,0,7,100,0,7,90,3
2,HiLo,Jungle,2,Sargassum,Lo,96,0,0,4,100,0,4,96,0
2,Ladder,Jungle,2,Sargassum,L,91,6,0,3,100,0,3,91,6
2,Ladder,Jungle,2,Sargassum,R,15,82,0,2,99,0,2,15,83
2,HiLo,Dunes,3,Control,Lo,81,0,19,0,100,19,19,81,0
2,HiLo,Dunes,3,Control,Hi,8,60,27,5,100,27,32,8,60
2,Ladder,Dunes,3,Control,L,20,52,0,28,100,0,28,20,52
2,Ladder,Dunes,3,Control,R,18,61,0,21,100,0,21,18,61
2,HiLo,Dunes,3,Sargassum,Lo,49,27,25,0,101,25,25,49,27
2,HiLo,Dunes,3,Sargassum,Hi,0,8,87,5,100,87,92,0,8
2,Ladder,Dunes,3,Sargassum,L,0,65,0,35,100,0,35,0,65
2,Ladder,Dunes,3,Sargassum,R,8,23,0,69,100,0,69,8,23
2,HiLo,Jungle,3,Control,Hi,73,22,0,5,100,0,5,73,22
2,HiLo,Jungle,3,Control,Lo,88,7,0,5,100,0,5,88,7
2,Ladder,Jungle,3,Control,L,100,0,0,0,100,0,0,100,0
2,Ladder,Jungle,3,Control,R,78,19,0,3,100,0,3,78,19
2,HiLo,Jungle,3,Sargassum,Hi,84,15,0,0,99,0,0,85,15
2,HiLo,Jungle,3,Sargassum,Lo,89,10,0,1,100,0,1,89,10
2,Ladder,Jungle,3,Sargassum,L,95,5,0,0,100,0,0,95,5
2,Ladder,Jungle,3,Sargassum,R,97,3,0,0,100,0,0,97,3
2,HiLo,Dunes,4,Control,Lo,41,58,1,0,100,1,1,41,58
2,HiLo,Dunes,4,Control,Hi,0,59,34,7,100,34,41,0,59
2,Ladder,Dunes,4,Control,L,0,94,0,5,99,0,5,0,95
2,Ladder,Dunes,4,Control,R,6,80,0,14,100,0,14,6,80
2,HiLo,Dunes,4,Sargassum,Lo,94,0,0,0,94,0,0,100,0
2,HiLo,Dunes,4,Sargassum,Hi,23,65,0,0,88,0,0,26,74
2,Ladder,Dunes,4,Sargassum,L,6,47,0,47,100,0,47,6,47
2,Ladder,Dunes,4,Sargassum,R,29,71,0,0,100,0,0,29,71
2,HiLo,Jungle,4,Control,Lo,26,63,0,11,100,0,11,26,63
2,HiLo,Jungle,4,Control,Hi,69,0,0,31,100,0,31,69,0
2,Ladder,Jungle,4,Control,L,100,0,0,0,100,0,0,100,0
2,Ladder,Jungle,4,Control,R,97,1,0,2,100,0,2,97,1
2,HiLo,Jungle,4,Sargassum,Lo,96,0,0,4,100,0,4,96,0
2,HiLo,Jungle,4,Sargassum,Hi,90,0,0,10,100,0,10,90,0
2,Ladder,Jungle,4,Sargassum,L,64,35,0,1,100,0,1,64,35
2,Ladder,Jungle,4,Sargassum,R,92,3,0,5,100,0,5,92,3
2,HiLo,Dunes,5,Control,Lo,75,25,0,0,100,0,0,75,25
2,HiLo,Dunes,5,Control,Hi,25,0,5,70,100,5,75,25,0
2,Ladder,Dunes,5,Control,L,0,100,0,0,100,0,0,0,100
2,Ladder,Dunes,5,Control,R,0,100,0,0,100,0,0,0,100
2,HiLo,Dunes,5,Sargassum,Lo,37,25,38,0,100,38,38,37,25
2,HiLo,Dunes,5,Sargassum,Hi,19,77,1,3,100,1,4,19,77
2,Ladder,Dunes,5,Sargassum,L,0,100,0,0,100,0,0,0,100
2,Ladder,Dunes,5,Sargassum,R,0,53,0,47,100,0,47,0,53
2,HiLo,Jungle,5,Control,Lo,78,32,0,0,110,0,0,71,29
2,HiLo,Jungle,5,Control,Hi,55,0,0,45,100,0,45,55,0
2,Ladder,Jungle,5,Control,L,100,0,0,0,100,0,0,100,0
2,Ladder,Jungle,5,Control,R,92,0,0,8,100,0,8,92,0
2,HiLo,Jungle,5,Sargassum,Lo,100,0,0,0,100,0,0,100,0
2,HiLo,Jungle,5,Sargassum,Hi,100,0,0,0,100,0,0,100,0
2,Ladder,Jungle,5,Sargassum,L,94,0,0,6,100,0,6,94,0
2,Ladder,Jungle,5,Sargassum,R,100,0,0,0,100,0,0,100,0
3,Ladder,Dunes,1,Control,L,0,99,0,1,100,0,1,0,99
3,Ladder,Dunes,1,Control,R,7,77,0,16,100,0,16,7,77
3,Ladder,Dunes,1,Sargassum,L,8,84,0,8,100,0,8,8,84
3,Ladder,Dunes,1,Sargassum,R,28,30,0,42,100,0,42,28,30
3,Ladder,Jungle,1,Control,R,53,49,0,1,103,0,1,51,48
3,Ladder,Jungle,1,Control,L,41,56,0,4,101,0,4,41,55
3,Ladder,Jungle,1,Sargassum,R,41,33,0,25,99,0,25,41,33
3,Ladder,Jungle,1,Sargassum,L,39,13,0,49,101,0,49,39,13
3,Ladder,Dunes,2,Control,L,2,94,1,3,100,1,4,2,94
3,Ladder,Dunes,2,Control,R,3,95,1,0,99,1,1,3,96
3,Ladder,Jungle,2,Control,R,66,7,0,27,100,0,27,66,7
3,Ladder,Jungle,2,Control,L,67,25,0,8,100,0,8,67,25
3,Ladder,Jungle,2,Sargassum,R,67,31,0,0,98,0,0,68,32
3,Ladder,Jungle,2,Sargassum,L,100,0,0,0,100,0,0,100,0
3,Ladder,Dunes,3,Control,L,30,30,40,1,101,40,41,30,30
3,Ladder,Dunes,3,Control,R,23,70,4,3,100,4,7,23,70
3,Ladder,Dunes,3,Sargassum,L,24,40,36,1,101,36,37,24,40
3,Ladder,Dunes,3,Sargassum,R,36,62,2,0,100,2,2,36,62
3,Ladder,Dunes,3,Sargassum,L,9,76,15,0,100,15,15,9,76
3,Ladder,Dunes,3,Sargassum,R,9,25,60,6,100,60,66,9,25
3,Ladder,Jungle,3,Control,R,60,28,0,0,88,0,0,68,32
3,Ladder,Jungle,3,Control,L,27,54,0,3,84,0,4,32,64
3,Ladder,Jungle,3,Sargassum,R,60,9,0,29,98,0,30,61,9
3,Ladder,Jungle,3,Sargassum,L,24,76,0,0,100,0,0,24,76
3,Ladder,Dunes,4,Control,L,0,86,14,0,100,14,14,0,86
3,Ladder,Dunes,4,Control,R,11,54,9,29,103,9,37,11,52
3,Ladder,Dunes,4,Sargassum,L,33,32,10,25,100,10,35,33,32
3,Ladder,Dunes,4,Sargassum,R,6,59,35,0,100,35,35,6,59
3,Ladder,Jungle,4,Control,R,86,1,0,8,95,0,8,91,1
3,Ladder,Jungle,4,Control,L,61,30,0,5,96,0,5,64,31
3,Ladder,Jungle,4,Sargassum,R,35,43,0,20,98,0,20,36,44
3,Ladder,Jungle,4,Sargassum,L,93,1,0,2,96,0,2,97,1
3,Ladder,Dunes,5,Sargassum,L,0,93,0,8,101,0,8,0,92
3,Ladder,Dunes,5,Sargassum,R,0,100,0,0,100,0,0,0,100
3,Ladder,Dunes,5,Sargassum,L,35,61,4,0,100,4,4,35,61
3,Ladder,Dunes,5,Sargassum,R,19,51,26,3,99,26,29,19,52
3,Ladder,Jungle,5,Control,R,90,5,0,4,99,0,4,91,5
3,Ladder,Jungle,5,Control,L,86,12,0,3,101,0,3,85,12
3,Ladder,Jungle,5,Sargassum,R,86,1,0,0,87,0,0,99,1
3,Ladder,Jungle,5,Sargassum,L,87,7,0,2,96,0,2,91,7
4,Perimiter,Dunes,1,Control,Lo,27,73,0,0,100,0,0,27,73
4,Perimiter,Dunes,1,Control,R,1,99,0,0,100,0,0,1,99
4,Perimiter,Dunes,1,Control,Hi,4,92,4,0,100,4,4,4,92
4,Perimiter,Dunes,1,Control,L,3,97,0,0,100,0,0,3,97
4,Perimiter,Dunes,1,Sargassum,Lo,50,44,6,0,100,6,6,50,44
4,Perimiter,Dunes,1,Sargassum,R,31,61,8,0,100,8,8,31,61
4,Perimiter,Dunes,1,Sargassum,Hi,3,93,0,4,100,0,4,3,93
4,Perimiter,Dunes,1,Sargassum,L,14,75,8,3,100,8,11,14,75
4,Perimiter,Dunes,2,Sargassum,Lo,4,78,18,0,100,18,18,4,78
4,Perimiter,Dunes,2,Sargassum,R,52,30,15,3,100,15,18,52,30
4,Perimiter,Dunes,2,Sargassum,Hi,12,20,27,41,100,27,68,12,20
4,Perimiter,Dunes,2,Sargassum,L,19,56,1,24,100,1,25,19,56
4,Perimiter,Dunes,2,Control,Lo,0,82,18,0,100,18,18,0,82
4,Perimiter,Dunes,2,Control,R,6,82,11,1,100,11,12,6,82
4,Perimiter,Dunes,2,Control,Hi,15,25,23,37,100,23,60,15,25
4,Perimiter,Dunes,2,Control,L,8,72,13,7,100,13,20,8,72
4,Perimiter,Dunes,3,Sargassum,R,0,52,19,29,100,19,48,0,52
4,Perimiter,Dunes,3,Sargassum,Lo,0,75,25,0,100,25,25,0,75
4,Perimiter,Dunes,3,Sargassum,Hi,2,49,42,7,100,42,49,2,49
4,Perimiter,Dunes,3,Sargassum,L,0,75,25,0,100,25,25,0,75
4,Perimiter,Dunes,3,Control,Lo,1,98,1,0,100,1,1,1,98
4,Perimiter,Dunes,3,Control,R,6,85,8,2,101,8,10,6,85
4,Perimiter,Dunes,3,Control,Hi,3,97,0,0,100,0,0,3,97
4,Perimiter,Dunes,3,Control,L,0,23,72,5,100,72,77,0,23
4,Perimiter,Dunes,4,Sargassum,Lo,0,11,89,0,100,89,89,0,11
4,Perimiter,Dunes,4,Sargassum,R,7,18,75,0,100,75,75,7,18
4,Perimiter,Dunes,4,Sargassum,Hi,15,47,34,4,100,34,38,15,47
4,Perimiter,Dunes,4,Sargassum,L,10,36,17,37,100,17,54,10,36
4,Perimiter,Dunes,4,Control,Lo,0,100,0,0,100,0,0,0,100
4,Perimiter,Dunes,4,Control,R,0,100,0,0,100,0,0,0,100
4,Perimiter,Dunes,4,Control,Hi,0,71,29,0,100,29,29,0,71
4,Perimiter,Dunes,4,Control,L,0,75,4,21,100,4,25,0,75
4,Perimiter,Dunes,5,Sargassum,Lo,0,6,94,0,100,94,94,0,6
4,Perimiter,Dunes,5,Sargassum,R,3,43,39,15,100,39,54,3,43
4,Perimiter,Dunes,5,Sargassum,Hi,12,28,60,0,100,60,60,12,28
4,Perimiter,Dunes,5,Sargassum,L,0,10,90,0,100,90,90,0,10
4,Perimiter,Dunes,5,Control,Lo,0,100,0,0,100,0,0,0,100
4,Perimiter,Dunes,5,Control,R,0,97,0,3,100,0,3,0,97
4,Perimiter,Dunes,5,Control,Hi,0,78,0,22,100,0,22,0,78
4,Perimiter,Dunes,5,Control,L,0,81,0,19,100,0,19,0,81
4,Perimiter,Jungle,1,Sargassum,Hi,85,0,0,15,100,0,15,85,0
4,Perimiter,Jungle,1,Sargassum,L,14,1,0,85,100,0,85,14,1
4,Perimiter,Jungle,1,Sargassum,Lo,0,0,0,100,100,0,100,0,0
4,Perimiter,Jungle,1,Sargassum,R,11,4,0,85,100,0,85,11,4
4,Perimiter,Jungle,1,Control,Lo,6,93,0,1,100,0,1,6,93
4,Perimiter,Jungle,1,Control,R,13,87,0,0,100,0,0,13,87
4,Perimiter,Jungle,1,Control,Hi,100,0,0,0,100,0,0,100,0
4,Perimiter,Jungle,1,Control,L,89,2,0,9,100,0,9,89,2
4,Perimiter,Jungle,2,Sargassum,Lo,16,0,0,84,100,0,84,16,0
4,Perimiter,Jungle,2,Sargassum,R,22,0,0,78,100,0,78,22,0
4,Perimiter,Jungle,2,Sargassum,Hi,94,0,0,6,100,0,6,94,0
4,Perimiter,Jungle,2,Sargassum,L,100,0,0,0,100,0,0,100,0
4,Perimiter,Jungle,2,Control,Lo,98,0,0,2,100,0,2,98,0
4,Perimiter,Jungle,2,Control,R,79,7,0,14,100,0,14,79,7
4,Perimiter,Jungle,2,Control,Hi,77,0,0,23,100,0,23,77,0
4,Perimiter,Jungle,2,Control,L,80,3,0,17,100,0,17,80,3
4,Perimiter,Jungle,3,Control,Hi,79,3,0,18,100,0,18,79,3
4,Perimiter,Jungle,3,Control,L,82,18,0,0,100,0,0,82,18
4,Perimiter,Jungle,3,Control,Lo,91,3,0,6,100,0,6,91,3
4,Perimiter,Jungle,3,Control,R,86,0,0,14,100,0,14,86,0
4,Perimiter,Jungle,3,Sargassum,Hi,91,0,0,9,100,0,9,91,0
4,Perimiter,Jungle,3,Sargassum,L,90,3,0,7,100,0,7,90,3
4,Perimiter,Jungle,3,Sargassum,Lo,100,0,0,0,100,0,0,100,0
4,Perimiter,Jungle,3,Sargassum,R,96,0,0,4,100,0,4,96,0
4,Perimiter,Jungle,4,Sargassum,Lo,84,2,0,14,100,0,14,84,2
4,Perimiter,Jungle,4,Sargassum,L,97,0,0,3,100,0,3,97,0
4,Perimiter,Jungle,4,Sargassum,Hi,88,0,0,12,100,0,12,88,0
4,Perimiter,Jungle,4,Sargassum,R,69,11,0,20,100,0,20,69,11
4,Perimiter,Jungle,4,Control,Lo,35,63,0,2,100,0,2,35,63
4,Perimiter,Jungle,4,Control,L,40,51,0,9,100,0,9,40,51
4,Perimiter,Jungle,4,Control,Hi,16,4,0,80,100,0,80,16,4
4,Perimiter,Jungle,4,Control,R,79,4,0,17,100,0,17,79,4
4,Perimiter,Jungle,5,Sargassum,R,81,12,0,7,100,0,7,81,12
4,Perimiter,Jungle,5,Sargassum,Lo,86,9,0,5,100,0,5,86,9
4,Perimiter,Jungle,5,Sargassum,L,96,0,0,4,100,0,4,96,0
4,Perimiter,Jungle,5,Sargassum,Hi,97,0,0,3,100,0,3,97,0
4,Perimiter,Jungle,5,Control,L,92,0,0,8,100,0,8,92,0
4,Perimiter,Jungle,5,Control,Hi,92,8,0,0,100,0,0,92,8
4,Perimiter,Jungle,5,Control,R,93,7,0,0,100,0,0,93,7
4,Perimiter,Jungle,5,Control,Lo,92,3,0,5,100,0,5,92,3