Site,Trip,Cover,Effect_size
Dune,1,grass,0.04531188
Dune,1,all_plants,0.1464693
Dune,1,bare,-0.934215
Dune,1,dead,1.418503
Dune,2,grass,0.3025703
Dune,2,all_plants,0.366157
Dune,2,bare,-0.3754487
Dune,2,dead,0.04837894
Dune,3,grass,0.4029647
Dune,3,all_plants,0.442794
Dune,3,bare,-0.6532534
Dune,3,dead,0.6092894
Jungle,1,grass,0.05820278
Jungle,1,all_plants,-0.07360737
Jungle,1,bare,-0.05437299
Jungle,1,dead,0.0849912
Jungle,2,grass,0
Jungle,2,all_plants,-0.03721963
Jungle,2,bare,-0.1565558
Jungle,2,dead,0.1584827
Jungle,3,grass,0
Jungle,3,all_plants,0.4780618
Jungle,3,bare,-0.2732504
Jungle,3,dead,0
Dune,4,grass,1.02311
Dune,4,all_plants,1.092164
Dune,4,bare,-1.503607
Dune,4,dead,0.662778
Jungle,4,grass,0
Jungle,4,all_plants,0.5604731
Jungle,4,bare,-0.7358784
Jungle,4,dead,-0.00302601