Date,Trip,Site,Survey,Block,Treatment,Side,Taxa,Count
8/1/22,1,Beach,Aerial  ,1,Control,1,Amphipoda,0
8/1/22,1,Beach,Aerial  ,4,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,1,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,2,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,3,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,4,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,5,Control,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,1,Control,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,2,Control,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,3,Control,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,4,Control,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,5,Control,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,1,Control,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,2,Control,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,3,Control,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,4,Control,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,5,Control,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,1,Control,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,2,Control,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,3,Control,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,4,Control,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,5,Control,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,1,Control,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,2,Control,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,3,Control,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,4,Control,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,5,Control,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,1,Sargassum,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,2,Sargassum,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,3,Sargassum,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,4,Sargassum,1,Amphipoda,0
11/9/22,2,Beach,Aerial  ,5,Sargassum,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,1,Sargassum,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,2,Sargassum,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,3,Sargassum,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,4,Sargassum,1,Amphipoda,0
3/17/23,3,Beach,Aerial  ,5,Sargassum,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,1,Sargassum,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,2,Sargassum,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,4,Sargassum,1,Amphipoda,0
8/3/22,1,Forest,Aerial  ,5,Sargassum,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,1,Sargassum,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,2,Sargassum,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,3,Sargassum,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,4,Sargassum,1,Amphipoda,0
11/13/22,2,Forest,Aerial  ,5,Sargassum,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,1,Sargassum,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,2,Sargassum,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,3,Sargassum,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,4,Sargassum,1,Amphipoda,0
3/17/23,3,Forest,Aerial  ,5,Sargassum,1,Amphipoda,0
8/1/22,1,Beach,Aerial  ,3,Control,1,Amphipoda,0.25
8/3/22,1,Forest,Aerial  ,3,Sargassum,1,Amphipoda,0.25
8/1/22,1,Beach,Aerial  ,2,Control,1,Amphipoda,0.5
8/1/22,1,Beach,Aerial  ,5,Control,1,Amphipoda,3.75
8/1/22,1,Beach,Aerial  ,4,Sargassum,1,Amphipoda,3.75
8/1/22,1,Beach,Aerial  ,1,Sargassum,1,Amphipoda,6.25
8/1/22,1,Beach,Aerial  ,3,Sargassum,1,Amphipoda,9
8/1/22,1,Beach,Aerial  ,2,Sargassum,1,Amphipoda,30.75
8/1/22,1,Beach,Aerial  ,5,Sargassum,1,Amphipoda,55.25
3/17/23,3,Forest,Aerial  ,1,Sargassum,1,Diptera,0.5
8/3/22,1,Forest,Aerial  ,2,Control,1,Diptera,1
3/17/23,3,Forest,Aerial  ,3,Sargassum,1,Diptera,1
8/3/22,1,Forest,Aerial  ,1,Control,1,Diptera,1.25
3/17/23,3,Forest,Aerial  ,4,Control,1,Diptera,1.25
3/17/23,3,Forest,Aerial  ,4,Sargassum,1,Diptera,1.25
3/17/23,3,Forest,Aerial  ,3,Control,1,Diptera,1.5
3/17/23,3,Forest,Aerial  ,2,Sargassum,1,Diptera,1.75
8/3/22,1,Forest,Aerial  ,3,Control,1,Diptera,2
3/17/23,3,Forest,Aerial  ,2,Control,1,Diptera,2
11/13/22,2,Forest,Aerial  ,1,Control,1,Diptera,2.5
3/17/23,3,Forest,Aerial  ,5,Control,1,Diptera,2.5
8/3/22,1,Forest,Aerial  ,2,Sargassum,1,Diptera,2.5
11/13/22,2,Forest,Aerial  ,2,Control,1,Diptera,2.75
11/13/22,2,Forest,Aerial  ,5,Control,1,Diptera,3
8/3/22,1,Forest,Aerial  ,3,Sargassum,1,Diptera,3
8/3/22,1,Forest,Aerial  ,4,Control,1,Diptera,3.25
3/17/23,3,Forest,Aerial  ,1,Control,1,Diptera,3.25
11/13/22,2,Forest,Aerial  ,4,Control,1,Diptera,4.5
8/3/22,1,Forest,Aerial  ,5,Sargassum,1,Diptera,4.5
8/3/22,1,Forest,Aerial  ,1,Sargassum,1,Diptera,5.25
8/3/22,1,Forest,Aerial  ,4,Sargassum,1,Diptera,5.25
8/1/22,1,Beach,Aerial  ,1,Control,1,Diptera,5.75
11/13/22,2,Forest,Aerial  ,3,Control,1,Diptera,6.75
3/17/23,3,Beach,Aerial  ,1,Sargassum,1,Diptera,6.75
3/17/23,3,Beach,Aerial  ,2,Sargassum,1,Diptera,6.75
8/1/22,1,Beach,Aerial  ,4,Control,1,Diptera,7.25
8/3/22,1,Forest,Aerial  ,5,Control,1,Diptera,7.5
11/13/22,2,Forest,Aerial  ,3,Sargassum,1,Diptera,8.5
8/1/22,1,Beach,Aerial  ,2,Control,1,Diptera,9
3/17/23,3,Beach,Aerial  ,3,Sargassum,1,Diptera,9
3/17/23,3,Forest,Aerial  ,5,Sargassum,1,Diptera,9.75
11/13/22,2,Forest,Aerial  ,4,Sargassum,1,Diptera,11.25
8/1/22,1,Beach,Aerial  ,3,Control,1,Diptera,12.25
11/13/22,2,Forest,Aerial  ,2,Sargassum,1,Diptera,12.75
3/17/23,3,Beach,Aerial  ,1,Control,1,Diptera,14
3/17/23,3,Beach,Aerial  ,3,Control,1,Diptera,16.75
8/1/22,1,Beach,Aerial  ,5,Control,1,Diptera,17.5
11/13/22,2,Forest,Aerial  ,5,Sargassum,1,Diptera,19
3/17/23,3,Beach,Aerial  ,4,Sargassum,1,Diptera,21
3/17/23,3,Beach,Aerial  ,5,Sargassum,1,Diptera,21
3/17/23,3,Beach,Aerial  ,4,Control,1,Diptera,21.25
11/13/22,2,Forest,Aerial  ,1,Sargassum,1,Diptera,23.25
3/17/23,3,Beach,Aerial  ,2,Control,1,Diptera,24.25
11/9/22,2,Beach,Aerial  ,3,Control,1,Diptera,32
11/9/22,2,Beach,Aerial  ,4,Control,1,Diptera,46
11/9/22,2,Beach,Aerial  ,1,Control,1,Diptera,48
3/17/23,3,Beach,Aerial  ,5,Control,1,Diptera,49
11/9/22,2,Beach,Aerial  ,2,Control,1,Diptera,55.5
11/9/22,2,Beach,Aerial  ,3,Sargassum,1,Diptera,57.25
11/9/22,2,Beach,Aerial  ,5,Sargassum,1,Diptera,60.75
11/9/22,2,Beach,Aerial  ,5,Control,1,Diptera,63.25
11/9/22,2,Beach,Aerial  ,2,Sargassum,1,Diptera,82.5
8/1/22,1,Beach,Aerial  ,4,Sargassum,1,Diptera,95.75
8/1/22,1,Beach,Aerial  ,1,Sargassum,1,Diptera,111.75
8/1/22,1,Beach,Aerial  ,3,Sargassum,1,Diptera,113.25
11/9/22,2,Beach,Aerial  ,4,Sargassum,1,Diptera,125
11/9/22,2,Beach,Aerial  ,1,Sargassum,1,Diptera,156
8/1/22,1,Beach,Aerial  ,2,Sargassum,1,Diptera,221.25
8/1/22,1,Beach,Aerial  ,5,Sargassum,1,Diptera,576.75
8/1/22,1,Beach,Aerial  ,4,Control,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,1,Control,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,2,Control,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,3,Control,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,4,Control,1,Hymenoptera,0
3/17/23,3,Beach,Aerial  ,1,Control,1,Hymenoptera,0
8/3/22,1,Forest,Aerial  ,4,Control,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,3,Sargassum,1,Hymenoptera,0
11/9/22,2,Beach,Aerial  ,4,Sargassum,1,Hymenoptera,0
8/3/22,1,Forest,Aerial  ,1,Sargassum,1,Hymenoptera,0
8/1/22,1,Beach,Aerial  ,1,Control,1,Hymenoptera,0.25
8/1/22,1,Beach,Aerial  ,2,Control,1,Hymenoptera,0.25
11/9/22,2,Beach,Aerial  ,5,Control,1,Hymenoptera,0.25
3/17/23,3,Beach,Aerial  ,4,Control,1,Hymenoptera,0.25
8/1/22,1,Beach,Aerial  ,2,Sargassum,1,Hymenoptera,0.25
11/9/22,2,Beach,Aerial  ,5,Sargassum,1,Hymenoptera,0.25
3/17/23,3,Beach,Aerial  ,3,Control,1,Hymenoptera,0.5
8/3/22,1,Forest,Aerial  ,1,Control,1,Hymenoptera,0.5
8/3/22,1,Forest,Aerial  ,3,Control,1,Hymenoptera,0.5
8/1/22,1,Beach,Aerial  ,5,Sargassum,1,Hymenoptera,0.5
8/3/22,1,Forest,Aerial  ,4,Sargassum,1,Hymenoptera,0.5
3/17/23,3,Beach,Aerial  ,2,Control,1,Hymenoptera,0.75
8/3/22,1,Forest,Aerial  ,2,Control,1,Hymenoptera,0.75
11/13/22,2,Forest,Aerial  ,3,Control,1,Hymenoptera,0.75
8/1/22,1,Beach,Aerial  ,4,Sargassum,1,Hymenoptera,0.75
3/17/23,3,Beach,Aerial  ,3,Sargassum,1,Hymenoptera,0.75
8/3/22,1,Forest,Aerial  ,3,Sargassum,1,Hymenoptera,0.75
3/17/23,3,Forest,Aerial  ,2,Control,1,Hymenoptera,1
8/1/22,1,Beach,Aerial  ,1,Sargassum,1,Hymenoptera,1
8/1/22,1,Beach,Aerial  ,3,Sargassum,1,Hymenoptera,1
8/3/22,1,Forest,Aerial  ,2,Sargassum,1,Hymenoptera,1
11/13/22,2,Forest,Aerial  ,1,Control,1,Hymenoptera,1.25
11/9/22,2,Beach,Aerial  ,2,Sargassum,1,Hymenoptera,1.25
3/17/23,3,Forest,Aerial  ,3,Control,1,Hymenoptera,1.75
3/17/23,3,Forest,Aerial  ,3,Sargassum,1,Hymenoptera,1.75
8/3/22,1,Forest,Aerial  ,5,Sargassum,1,Hymenoptera,2
8/1/22,1,Beach,Aerial  ,5,Control,1,Hymenoptera,2.25
11/13/22,2,Forest,Aerial  ,2,Control,1,Hymenoptera,2.25
3/17/23,3,Forest,Aerial  ,1,Control,1,Hymenoptera,2.25
11/13/22,2,Forest,Aerial  ,1,Sargassum,1,Hymenoptera,2.25
8/1/22,1,Beach,Aerial  ,3,Control,1,Hymenoptera,2.5
3/17/23,3,Beach,Aerial  ,2,Sargassum,1,Hymenoptera,2.75
11/13/22,2,Forest,Aerial  ,2,Sargassum,1,Hymenoptera,2.75
3/17/23,3,Forest,Aerial  ,1,Sargassum,1,Hymenoptera,2.75
3/17/23,3,Beach,Aerial  ,5,Control,1,Hymenoptera,3
11/13/22,2,Forest,Aerial  ,4,Control,1,Hymenoptera,3
8/3/22,1,Forest,Aerial  ,5,Control,1,Hymenoptera,3.5
3/17/23,3,Forest,Aerial  ,5,Control,1,Hymenoptera,3.5
11/13/22,2,Forest,Aerial  ,5,Control,1,Hymenoptera,4
3/17/23,3,Forest,Aerial  ,2,Sargassum,1,Hymenoptera,4
11/13/22,2,Forest,Aerial  ,3,Sargassum,1,Hymenoptera,4.25
3/17/23,3,Forest,Aerial  ,4,Control,1,Hymenoptera,4.75
3/17/23,3,Beach,Aerial  ,4,Sargassum,1,Hymenoptera,4.75
3/17/23,3,Beach,Aerial  ,5,Sargassum,1,Hymenoptera,4.75
3/17/23,3,Forest,Aerial  ,4,Sargassum,1,Hymenoptera,9.25
3/17/23,3,Forest,Aerial  ,5,Sargassum,1,Hymenoptera,10.25
11/9/22,2,Beach,Aerial  ,1,Sargassum,1,Hymenoptera,10.75
11/13/22,2,Forest,Aerial  ,4,Sargassum,1,Hymenoptera,14.5
11/13/22,2,Forest,Aerial  ,5,Sargassum,1,Hymenoptera,14.5
3/17/23,3,Beach,Aerial  ,1,Sargassum,1,Hymenoptera,27