Trip,Site,Treatment,Block,Observer 1,Observer 2,Observer 3,Mean_prc_cover,trt_means,trt_SE,No._spp,flower_no.1,flower_no.2,flower_count
3,Dune,Sargassum,1,20,40,na,30,38.2,10,3,na,na,na
3,Dune,Sargassum,2,80,60,na,70,na,na,2,na,na,na
3,Dune,Sargassum,3,60,45,na,52.5,na,na,7,na,na,na
3,Dune,Sargassum,4,17,15,na,16,na,na,3,na,na,na
3,Dune,Sargassum,5,25,20,na,22.5,na,na,4,na,na,na
3,Dune,Control,1,1,1,na,1,6.3,3,4,na,na,na
3,Dune,Control,2,5,5,na,5,na,na,4,na,na,na
3,Dune,Control,3,15,17,na,16,na,na,6,na,na,na
3,Dune,Control,4,5,4,na,4.5,na,na,4,na,na,na
3,Dune,Control,5,5,5,na,5,na,na,3,na,na,na
3,Jungle,Sargassum,1,40,50,na,45,9.36,9,11,na,na,na
3,Jungle,Sargassum,2,0.1,0.5,na,0.3,na,na,5,na,na,na
3,Jungle,Sargassum,3,0.5,0.5,na,0.5,na,na,8,na,na,na
3,Jungle,Sargassum,4,0.5,0.5,na,0.5,na,na,5,na,na,na
3,Jungle,Sargassum,5,0.5,0.5,na,0.5,na,na,9,na,na,na
3,Jungle,Control,1,3,4,na,3.5,2.45,1,13,na,na,na
3,Jungle,Control,2,2,1,na,1.5,na,na,15,na,na,na
3,Jungle,Control,3,2,0.5,na,1.25,na,na,11,na,na,na
3,Jungle,Control,4,4,4,na,4,na,na,11,na,na,na
3,Jungle,Control,5,2,2,na,2,na,na,9,na,na,na
4,Dune,Sargassum,1,55,20,na,37,21.8,11,2,44,56,50
4,Dune,Control,1,1,1,1,1,na,na,3,0,0,0
4,Dune,Control,2,7,7,8,5,na,na,5,0,0,0
4,Dune,Sargassum,2,85,90,70,59,na,na,3,31,36,33.5
4,Dune,Control,3,10,8,15,7,na,na,6,0,0,0
4,Dune,Sargassum,3,85,70,80,53,25.2,8,4,25,26,25.5
4,Dune,Control,4,9,15,15,9,na,na,3,0,0,0
4,Dune,Sargassum,4,45,45,55,31,na,na,3,28,25,26.5
4,Dune,Control,5,20,20,25,15,na,na,3,0,0,0
4,Dune,Sargassum,5,30,20,15,18,na,na,3,27,23,25
4,Jungle,Control,5,1,3,na,3,5.2,2,na,na,na,na
4,Jungle,Sargassum,5,1,1,na,2,na,na,na,na,na,na
4,Jungle,Control,4,8,10,na,7,na,na,na,na,na,na
4,Jungle,Sargassum,4,1,3,na,3,na,na,na,na,na,na
4,Jungle,Control,3,10,20,na,11,na,na,na,na,na,na
4,Jungle,Sargassum,3,1,1,na,2,2.8,1,na,na,na,na
4,Jungle,Control,2,3,3,na,3,na,na,na,na,na,na
4,Jungle,Sargassum,2,2,2,na,2,na,na,na,na,na,na
4,Jungle,Control,1,1,1,na,1,na,na,na,na,na,na
4,Jungle,Sargassum,1,8,10,na,6,na,na,na,na,na,na